Manufacturer	Model	Type	Engine.Displacement	Cylinders	MPG.city	MPG.highway	MPG.combined	Guzzler	Aspiration	Transmission	Gears	Drive	Fuel.cost
Kia	SORENTO.4WD	Special.Purpose.Vehicle.SUV.4WD	2.4	4	21	28	23	N	Naturally.Aspirated	Automatic	6	4-Wheel.Drive	2414
Kia	SOUL	Small.Station.Wagons	1.6	4	27	35	30	N	Naturally.Aspirated	Automatic	6	2-Wheel.Drive.Front	1848
Kia	SPORTAGE.2WD	Special.Purpose.Vehicle.SUV.2WD	2.0	4	22	29	24	N	Turbocharged	Automatic	6	2-Wheel.Drive.Front	2314
Kia	SPORTAGE.4WD	Special.Purpose.Vehicle.SUV.4WD	2.0	4	21	26	23	N	Turbocharged	Automatic	6	4-Wheel.Drive	2414
Lamborghini	Aventador.Coupe	Two.Seaters	6.5	12	11	17	13	Y	Naturally.Aspirated	Semi-Automatic	7	All.Wheel.Drive	3691
Lamborghini	Gallardo.Coupe	Two.Seaters	5.2	10	13	20	16	Y	Naturally.Aspirated	Automated.Manual	6	All.Wheel.Drive	3000
Land.Rover	LR4	Special.Purpose.Vehicle.SUV.4WD	5.0	8	12	17	14	N	Naturally.Aspirated	Semi-Automatic	6	4-Wheel.Drive	4230
Land.Rover	Range.Rover	Special.Purpose.Vehicle.SUV.4WD	5.0	8	12	18	14	N	Supercharged	Semi-Automatic	6	4-Wheel.Drive	4230
Lexus	CT.200h	Compact.Cars	1.8	4	43	40	42	N	Naturally.Aspirated	Continuously.Variable	1	2-Wheel.Drive.Front	1321
Lexus	GX.460	Special.Purpose.Vehicle.SUV.4WD	4.6	8	15	20	17	N	Naturally.Aspirated	Semi-Automatic	6	4-Wheel.Drive	3484
Lexus	LFA	Two.Seaters	4.8	10	11	16	12	Y	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Rear	4936
Lexus	RX.350	Special.Purpose.Vehicle.SUV.2WD	3.5	6	18	25	21	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	2642
Lexus	RX.350.AWD	Special.Purpose.Vehicle.SUV.4WD	3.5	6	18	24	20	N	Naturally.Aspirated	Semi-Automatic	6	All.Wheel.Drive	2775
Lexus	RX.450h	Special.Purpose.Vehicle.SUV.2WD	3.5	6	32	28	30	N	Naturally.Aspirated	Continuously.Variable	6	2-Wheel.Drive.Front	1973
Lexus	RX.450h.AWD	Special.Purpose.Vehicle.SUV.4WD	3.5	6	30	28	29	N	Naturally.Aspirated	Continuously.Variable	6	All.Wheel.Drive	2044
Lincoln.Truck	MKS.AWD	Large.Cars	3.5	6	17	25	20	N	Turbocharged	Semi-Automatic	6	All.Wheel.Drive	2775
Lincoln.Truck	MKT.AWD	Special.Purpose.Vehicle.SUV.4WD	3.5	6	16	22	18	N	Turbocharged	Semi-Automatic	6	All.Wheel.Drive	3086
Lincoln.Truck	MKX.AWD	Special.Purpose.Vehicle.SUV.4WD	3.7	6	17	23	19	N	Naturally.Aspirated	Semi-Automatic	6	All.Wheel.Drive	2919
Lincoln.Truck	MKZ.AWD	Midsize.Cars	3.5	6	17	25	19	N	Naturally.Aspirated	Semi-Automatic	6	All.Wheel.Drive	2919
Lincoln.Truck	NAVIGATOR.4WD.FFV	Special.Purpose.Vehicle.SUV.2WD	5.4	8	13	18	15	N	Naturally.Aspirated	Automatic	6	Part-time.4-Wheel.Drive	3702
Maserati	GRANTURISMO	Subcompact.Cars	4.7	8	13	21	15	Y	Naturally.Aspirated	Automatic	6	2-Wheel.Drive.Rear	3952
Maserati	QUATTROPORTE	Large.Cars	4.7	8	12	19	15	Y	Naturally.Aspirated	Automatic	6	2-Wheel.Drive.Rear	3952
Mazda	CX-9.2WD	Special.Purpose.Vehicle.SUV.2WD	3.7	6	17	24	19	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	2919
Mazda	MAZDA5	Special.Purpose.Vehicle.minivan.2WD	2.5	4	21	28	24	N	Naturally.Aspirated	Semi-Automatic	5	2-Wheel.Drive.Front	2314
Mazda	MAZDA2	Compact.Cars	1.5	4	28	34	30	N	Naturally.Aspirated	Automatic	4	2-Wheel.Drive.Front	1848
Mazda	MAZDA3	Compact.Cars	2.0	4	24	33	27	N	Naturally.Aspirated	Semi-Automatic	5	2-Wheel.Drive.Front	2054
Mazda	MAZDA6	Midsize.Cars	2.5	4	22	31	25	N	Naturally.Aspirated	Semi-Automatic	5	2-Wheel.Drive.Front	2220
Mazda	MAZDASPEED3	Midsize.Cars	2.3	4	18	25	21	N	Turbocharged	Manual	6	2-Wheel.Drive.Front	2820
Mazda	MX-5	Two.Seaters	2.0	4	21	28	23	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Rear	2577
Mercedes-Benz	C.250	Compact.Cars	1.8	4	21	31	25	N	Turbocharged	Automatic	7	2-Wheel.Drive.Rear	2370
Mercedes-Benz	C.350	Compact.Cars	3.5	6	20	29	23	N	Naturally.Aspirated	Automatic	7	2-Wheel.Drive.Rear	2577
Mercedes-Benz	C.63.AMG	Compact.Cars	6.2	8	13	19	15	Y	Naturally.Aspirated	Automatic	7	2-Wheel.Drive.Rear	3952
Mercedes-Benz	CL.600	Compact.Cars	5.5	12	12	18	14	Y	Turbocharged	Automatic	5	2-Wheel.Drive.Rear	4230
Mercedes-Benz	G.550	Special.Purpose.Vehicle.SUV.4WD	5.5	8	12	15	13	N	Naturally.Aspirated	Automatic	7	4-Wheel.Drive	3691
Mercedes-Benz	GLK.350	Special.Purpose.Vehicle.SUV.2WD	3.5	6	16	22	18	N	Naturally.Aspirated	Automatic	7	2-Wheel.Drive.Rear	3294
Mercedes-Benz	S.550	Large.Cars	4.7	8	15	25	19	N	Turbocharged	Automatic	7	2-Wheel.Drive.Rear	3117
Mercedes-Benz	S.600	Large.Cars	5.5	12	12	19	14	Y	Turbocharged	Automatic	5	2-Wheel.Drive.Rear	4230
Mercedes-Benz	S.63.AMG	Large.Cars	5.5	8	15	23	18	N	Turbocharged	Automatic	7	2-Wheel.Drive.Rear	3294
Mercedes-Benz	S.65.AMG	Large.Cars	6.0	12	12	19	14	Y	Turbocharged	Automatic	5	2-Wheel.Drive.Rear	4230
Mercedes-Benz	SL.550	Two.Seaters	5.5	8	14	22	17	Y	Naturally.Aspirated	Automatic	7	2-Wheel.Drive.Rear	3484
Mercedes-Benz	SL.63.AMG	Two.Seaters	6.2	8	12	19	14	Y	Naturally.Aspirated	Automatic	7	2-Wheel.Drive.Rear	4230
Mercedes-Benz	SLK.350	Two.Seaters	3.5	6	20	29	23	N	Naturally.Aspirated	Automatic	7	2-Wheel.Drive.Rear	2577
Mercedes-Benz	SLS.AMG	Two.Seaters	6.2	8	14	20	16	Y	Naturally.Aspirated	Automated.Manual	7	2-Wheel.Drive.Rear	3703
Mercedes-Benz	SLS.AMG.Roadster	Two.Seaters	6.2	8	14	20	16	Y	Naturally.Aspirated	Automated.Manual	7	2-Wheel.Drive.Rear	3703
Mini	Mini.Cooper	Minicompact.Cars	1.6	4	28	36	31	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	1914
Mini	Mini.Cooper.Clubman	Subcompact.Cars	1.6	4	27	35	30	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	1973
Mini	Mini.Cooper.Convertible	Minicompact.Cars	1.6	4	27	35	30	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	1973
Mini	Mini.Cooper.Countryman	Compact.Cars	1.6	4	25	30	27	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	2192
